unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{55BDCAE6-28EF-521D-E053-6B04A8C0DD7A},175000,2017-07-07 00:00,LE16 9EN,T,N,F,135,"",LATHKILL STREET,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{55BDCAE6-2B58-521D-E053-6B04A8C0DD7A},230000,2017-06-06 00:00,LE10 1LS,S,N,F,44,"",LEICESTER ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{5376B385-A019-34C1-E053-6B04A8C09FF6},78500,2017-05-26 00:00,LE67 4JJ,T,N,F,101,"",WATERWORKS ROAD,"",COALVILLE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{5376B385-9E65-34C1-E053-6B04A8C09FF6},168000,2017-05-26 00:00,LE10 1TG,T,N,F,19,"",LANESIDE DRIVE,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{5376B385-A289-34C1-E053-6B04A8C09FF6},111500,2017-05-18 00:00,LE18 4QA,T,N,F,35,"",IRLAM STREET,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{55BDCAE6-29B0-521D-E053-6B04A8C0DD7A},155000,2017-07-14 00:00,LE13 1DD,T,N,F,15,"",HARVEY STREET,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{55BDCAE6-27A8-521D-E053-6B04A8C0DD7A},164000,2017-06-23 00:00,LE11 2NX,T,N,F,35,"",KING GEORGE ROAD,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{55BDCAE6-29BF-521D-E053-6B04A8C0DD7A},115000,2017-07-21 00:00,LE11 1EF,F,N,L,4,"",HOLLAND CLOSE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{55BDCAE6-29E1-521D-E053-6B04A8C0DD7A},172000,2017-02-21 00:00,LE13 0NZ,T,N,F,40,"",ROSSITER CLOSE,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{5376B385-A10D-34C1-E053-6B04A8C09FF6},115000,2017-04-24 00:00,LE65 1FX,F,N,L,72,"",OAK CRESCENT,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{5376B385-A37F-34C1-E053-6B04A8C09FF6},207500,2017-06-23 00:00,LE13 1UF,D,N,F,144,"",REDWOOD AVENUE,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
