query,latitude,longitude,display_name,geocode_status
"36 CHURCHILL CLOSE ASHBY-DE-LA-ZOUCH, LE65 2LR, United Kingdom",52.7479208,-1.4830926,"36, Churchill Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LR, United Kingdom",ok
"7 CHURCHILL CLOSE ASHBY-DE-LA-ZOUCH, LE65 2LR, United Kingdom",52.7479036,-1.4815402,"7, Churchill Close, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2LR, United Kingdom",ok
"69 PRESTOP DRIVE ASHBY-DE-LA-ZOUCH, LE65 2NA, United Kingdom",52.7488787,-1.4871339,"69, Prestop Drive, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NA, United Kingdom",ok
"11 BEAUMONT AVENUE ASHBY-DE-LA-ZOUCH, LE65 2NF, United Kingdom",52.7452151,-1.4852161,"11, Beaumont Avenue, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NF, United Kingdom",ok
"29 BEAUMONT AVENUE ASHBY-DE-LA-ZOUCH, LE65 2NF, United Kingdom",52.7440453,-1.4837379,"29, Beaumont Avenue, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NF, United Kingdom",ok
"21 WOODSIDE ASHBY-DE-LA-ZOUCH, LE65 2NJ, United Kingdom",52.7444807,-1.487548,"21, Woodside, Shellbrook, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NJ, United Kingdom",ok
"19 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2NN, United Kingdom",52.751919,-1.4774024,"Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",ok
"22 UPPINGHAM DRIVE ASHBY-DE-LA-ZOUCH, LE65 2NQ, United Kingdom",52.7515716,-1.480898,"Uppingham Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NQ, United Kingdom",ok
"26 WINCHESTER WAY ASHBY-DE-LA-ZOUCH, LE65 2NR, United Kingdom",52.7506173,-1.4781872,"Winchester Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NR, United Kingdom",ok
"27 WINCHESTER WAY ASHBY-DE-LA-ZOUCH, LE65 2NR, United Kingdom",52.7506173,-1.4781872,"Winchester Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NR, United Kingdom",ok
"7 WINCHESTER WAY ASHBY-DE-LA-ZOUCH, LE65 2NR, United Kingdom",52.7506173,-1.4781872,"Winchester Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NR, United Kingdom",ok
"12 DONINGTON DRIVE ASHBY-DE-LA-ZOUCH, LE65 2NT, United Kingdom",52.7441439,-1.4832781,"12, Donington Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NT, United Kingdom",ok
"15 DONINGTON DRIVE ASHBY-DE-LA-ZOUCH, LE65 2NT, United Kingdom",52.7442013,-1.4827722,"15, Donington Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2NT, United Kingdom",ok
"19 GRANGE CLOSE ASHBY-DE-LA-ZOUCH, LE65 2PQ, United Kingdom",52.7422342,-1.4801654,"Grange Close, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2PQ, United Kingdom",ok
"42 TAMWORTH ROAD ASHBY-DE-LA-ZOUCH, LE65 2PR, United Kingdom",52.7418338,-1.4780254,"Tamworth Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2PR, United Kingdom",ok
"44 TAMWORTH ROAD ASHBY-DE-LA-ZOUCH, LE65 2PR, United Kingdom",52.7418338,-1.4780254,"Tamworth Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2PR, United Kingdom",ok
"62 TAMWORTH ROAD ASHBY-DE-LA-ZOUCH, LE65 2PT, United Kingdom",52.7422161,-1.4777415,"62, Tamworth Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2PT, United Kingdom",ok
