match_key,unique_id,LMK_KEY,geocode_query,latitude,longitude,display_name,geocode_status,distance_to_prison_m
LE100DH|75 EDWARD STREET HINCKLEY,{8F1B26BD-E391-53DB-E053-6C04A8C03649},73c4b28828578c1ac7f5ce088db858b9d09e65005ac7b0745b162cee6950317c,"75 EDWARD STREET HINCKLEY, LE10 0DH, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DH|75 EDWARD STREET HINCKLEY,{EA3278AA-2726-2676-E053-6B04A8C015F8},73c4b28828578c1ac7f5ce088db858b9d09e65005ac7b0745b162cee6950317c,"75 EDWARD STREET HINCKLEY, LE10 0DH, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DJ|121 EDWARD STREET HINCKLEY,{3DCCB7CA-1B2E-5B9D-E063-4704A8C0331E},1290a158e823ad48a2b64629803be3b3d1ad67e597013505ef5b796790a31793,"121 EDWARD STREET HINCKLEY, LE10 0DJ, United Kingdom",52.55015,-1.3762994,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DJ, United Kingdom",ok,16075.9464158769
LE100DL|10 EDWARD STREET HINCKLEY,{D22473F5-98A3-7B40-E053-6C04A8C0A630},936591ac6cad166d69a7b13cf90db80be8a19ee3fdd34f80a1d5089074aa1526,"10 EDWARD STREET HINCKLEY, LE10 0DL, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DL|4 EDWARD STREET HINCKLEY,{DBA933F9-9DCB-669D-E053-6B04A8C0AD56},d81e4453b1c029d08adba0052a73a1d8c8aea84f088d7dc309fced7b45eb8bb1,"4 EDWARD STREET HINCKLEY, LE10 0DL, United Kingdom",52.5479954,-1.3743215,"Edward Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DH, United Kingdom",ok,16005.7058887709
LE100DQ|106 BURLEIGH ROAD HINCKLEY,{CD5A9DCC-0D09-310A-E053-6C04A8C00A1F},ade59ba665080a9391cbaf764b0fcd071db9e399bdc0d8a3358db285ac6ae657,"106 BURLEIGH ROAD HINCKLEY, LE10 0DQ, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DQ|64 BURLEIGH ROAD HINCKLEY,{433F1663-9F2E-4FAB-8A65-835B9163C630},15585f9074c70f21e31e974e824340a79c0bd5368a0dfac5f6a9d015bb6b9145,"64 BURLEIGH ROAD HINCKLEY, LE10 0DQ, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DQ|64 BURLEIGH ROAD HINCKLEY,{433F1663-9F2E-4FAB-8A65-835B9163C630},d3f0b9bf6bc1b62a9cac0b16364f2a4b55e69945d84830ac64c5cd59b354ff52,"64 BURLEIGH ROAD HINCKLEY, LE10 0DQ, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DQ|74 BURLEIGH ROAD HINCKLEY,{D707E535-88D0-0AD9-E053-6B04A8C067CC},5ca60708d9cf59554786ccdbf38e5b90324b431e6ef15ce52fdeee4cc65429bf,"74 BURLEIGH ROAD HINCKLEY, LE10 0DQ, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DQ|94 BURLEIGH ROAD HINCKLEY,{CB0035E5-F979-58AE-E053-6B04A8C091AF},7bb1b202dd1cd506404508ae1b53bb79f2d59cef5e3c1ed9601c83d398d5e099,"94 BURLEIGH ROAD HINCKLEY, LE10 0DQ, United Kingdom",52.5496408,-1.3808843,"Burleigh Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DG, United Kingdom",ok,16390.4975625214
LE100DR|20 FACTORY ROAD HINCKLEY,{D22473F5-9EB9-7B40-E053-6C04A8C0A630},e63d5b2afdf74700e90b2e8e0a346718ab627970cc6fde1bc6d840b20e3dce19,"20 FACTORY ROAD HINCKLEY, LE10 0DR, United Kingdom",52.5464983,-1.3727732,"Factory Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 1RS, United Kingdom",ok,15948.1501746508
LE100DS|126 FACTORY ROAD HINCKLEY,{981848FB-CB4A-4342-9220-78B611107A04},83a70834611f40e6ecab321af9fabed1907e9ac5b5fac6e53db4d8047a21dda7,"126 FACTORY ROAD HINCKLEY, LE10 0DS, United Kingdom",52.5464983,-1.3727732,"Factory Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 1RS, United Kingdom",ok,15948.1501746508
LE100DX|16 GARDEN ROAD HINCKLEY,{38EDC0C3-11D5-0F63-E063-4704A8C00424},1d768cc7312418d3ac40e650034ef108e404afff747bcc2d9057599dafc12bec,"16 GARDEN ROAD HINCKLEY, LE10 0DX, United Kingdom",52.5460882,-1.3743125,"Garden Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DX, United Kingdom",ok,16060.6421851206
LE100DY|36 GOPSALL ROAD HINCKLEY,{36A61A94-BC9B-DEF2-E063-4704A8C046AE},0ed3b024077d308939444c79dbddb253af3a9fedfd73bea488d36882d606ee13,"36 GOPSALL ROAD HINCKLEY, LE10 0DY, United Kingdom",52.546868,-1.3741801,"Gopsall Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DY, United Kingdom",ok,16028.9865455306
LE100DY|36 GOPSALL ROAD HINCKLEY,{9E8E8356-99A1-47F5-B92B-1897F24597B2},0ed3b024077d308939444c79dbddb253af3a9fedfd73bea488d36882d606ee13,"36 GOPSALL ROAD HINCKLEY, LE10 0DY, United Kingdom",52.546868,-1.3741801,"Gopsall Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DY, United Kingdom",ok,16028.9865455306
LE100DY|36 GOPSALL ROAD HINCKLEY,{42A5F273-3334-4EA8-8667-F867A9CC8BEA},0ed3b024077d308939444c79dbddb253af3a9fedfd73bea488d36882d606ee13,"36 GOPSALL ROAD HINCKLEY, LE10 0DY, United Kingdom",52.546868,-1.3741801,"Gopsall Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DY, United Kingdom",ok,16028.9865455306
LE100DY|42 GOPSALL ROAD HINCKLEY,{E7B085FC-70A4-7E31-E053-6C04A8C0E67F},3426189f4d433bdd22bfeef96f8f9297d7f002294eb8532d0201d2a594fb056e,"42 GOPSALL ROAD HINCKLEY, LE10 0DY, United Kingdom",52.546868,-1.3741801,"Gopsall Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DY, United Kingdom",ok,16028.9865455306
LE100DY|42 GOPSALL ROAD HINCKLEY,{06C9F487-8913-9388-E063-4804A8C0BD98},3426189f4d433bdd22bfeef96f8f9297d7f002294eb8532d0201d2a594fb056e,"42 GOPSALL ROAD HINCKLEY, LE10 0DY, United Kingdom",52.546868,-1.3741801,"Gopsall Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DY, United Kingdom",ok,16028.9865455306
LE100EA|15B STOKE ROAD HINCKLEY,{34222873-2811-4D2B-E063-4704A8C07853},c86f751ec5e7de1d05e9dba5f4c04f4f5ff87fe6c2a3eb3282d37eb2de0b7815,"15B STOKE ROAD HINCKLEY, LE10 0EA, United Kingdom",52.5518362,-1.3834373,"Stoke Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EL, United Kingdom",ok,16502.2332052392
LE100EA|26 STOKE ROAD HINCKLEY,{E073986B-6CB7-2134-E053-6C04A8C0233B},640ad43285abfe51c38c09389fe67d9c872c7a3e57a9e658e00963a4ed63af4d,"26 STOKE ROAD HINCKLEY, LE10 0EA, United Kingdom",52.5503936,-1.3829384,"26, Stoke Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EL, United Kingdom",ok,16505.7991093816
LE100EF|3A TUDOR ROAD HINCKLEY,{D707E535-8A6D-0AD9-E053-6B04A8C067CC},c7fa7f01d9bb4fb3db67e97e54102355cc2a217836798b862a0cba697c9f6ea9,"3A TUDOR ROAD HINCKLEY, LE10 0EF, United Kingdom",52.5529651,-1.3718919,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0RE, United Kingdom",ok,15713.3429152364
LE100EF|3A TUDOR ROAD HINCKLEY,{4777E0AE-DFF6-5D59-E063-4804A8C09F8E},c7fa7f01d9bb4fb3db67e97e54102355cc2a217836798b862a0cba697c9f6ea9,"3A TUDOR ROAD HINCKLEY, LE10 0EF, United Kingdom",52.5529651,-1.3718919,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0RE, United Kingdom",ok,15713.3429152364
LE100EF|3A TUDOR ROAD HINCKLEY,{13E1002F-C550-495F-92A7-3BEC88D2E83E},c7fa7f01d9bb4fb3db67e97e54102355cc2a217836798b862a0cba697c9f6ea9,"3A TUDOR ROAD HINCKLEY, LE10 0EF, United Kingdom",52.5529651,-1.3718919,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0RE, United Kingdom",ok,15713.3429152364
LE100EL|9 CADEBY CLOSE HINCKLEY,{A71375FD-CFC0-7576-E053-6C04A8C0462F},82895d4292799aa758f8009220666737d80d47951124fa6bfe400541bf8296fb,"9 CADEBY CLOSE HINCKLEY, LE10 0EL, United Kingdom",52.5514972,-1.3839307,"Cadeby Close, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EL, United Kingdom",ok,16543.1604784633
LE100EL|9 CADEBY CLOSE HINCKLEY,{FFA361DA-F2F6-8A03-E053-4804A8C01F61},82895d4292799aa758f8009220666737d80d47951124fa6bfe400541bf8296fb,"9 CADEBY CLOSE HINCKLEY, LE10 0EL, United Kingdom",52.5514972,-1.3839307,"Cadeby Close, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EL, United Kingdom",ok,16543.1604784633
